title;platform;publisher;release_date;critic_score;critic_count;critic_positive;critic_mixed;critic_negative;user_score;user_count;user_positive;user_mixed;user_negative;developer;genre;players;rating;director;writer;composer;url
Placards;Wii U;JH Specialty, Inc.;Feb 23, 2017;;;;;;tbd;;;;;Wombat Source;;;;;;;https://www.metacritic.com/game/wii-u/placards
Vaccine;Wii U;Rainy Night Creations;Feb 23, 2017;;;;;;tbd;;;;;Rainy Night Creations, RNC;;;;;;;https://www.metacritic.com/game/wii-u/vaccine
Wall Ball;Wii U;RCMADIAX;Feb 16, 2017;;;;;;tbd;;;;;RCMADIAX;;;;;;;https://www.metacritic.com/game/wii-u/wall-ball
COLOR CUBES;Wii U;RCMADIAX;Feb 16, 2017;;;;;;tbd;;;;;RCMADIAX;;;;;;;https://www.metacritic.com/game/wii-u/color-cubes
Plantera;Wii U;Ratalaika Games;Feb  9, 2017;;;;;;tbd;;;;;Ratalaika Games;;;;;;;https://www.metacritic.com/game/wii-u/plantera
BRICK RACE;Wii U;RCMADIAX;Feb  9, 2017;;;;;;tbd;;;;;RCMADIAX;;;;;;;https://www.metacritic.com/game/wii-u/brick-race
Y.A.S.G;Wii U;LSA Games;Feb  9, 2017;;;;;;tbd;;;;;LSA Games;;;;;;;https://www.metacritic.com/game/wii-u/yasg
Words Up! Academy;Wii U;CoderChild;Feb  9, 2017;;;;;;tbd;;;;;CoderChild;;;;;;;https://www.metacritic.com/game/wii-u/words-up!-academy
WordsUp! Academy;Wii U;CoderChild;Feb  9, 2017;;;;;;tbd;;;;;CoderChild;;;;;;;https://www.metacritic.com/game/wii-u/wordsup!-academy
I C REDD;Wii U;RCMADIAX;Feb  2, 2017;;;;;;tbd;;;;;RCMADIAX;;;;;;;https://www.metacritic.com/game/wii-u/i-c-redd
Star Splash: Shattered Star;Wii U;Snails Animation;Feb  2, 2017;;;;;;tbd;;;;;Snails Animation;;;;;;;https://www.metacritic.com/game/wii-u/star-splash-shattered-star
Lucentek Beyond;Wii U;Lucentek;Feb  2, 2017;;;;;;tbd;;;;;Joseph Lucente;;;;;;;https://www.metacritic.com/game/wii-u/lucentek-beyond
Toby: The Secret Mine;Wii U;Headup Games;Jan 19, 2017;;;;;;tbd;1;0;1;0;Lukas Navratil;;;;;;;https://www.metacritic.com/game/wii-u/toby-the-secret-mine
Mega Maze;Wii U;Chronova;Jan 19, 2017;;;;;;tbd;;;;;Chronova;;;;;;;https://www.metacritic.com/game/wii-u/mega-maze
Koi DX;Wii U;CIRCLE Entertainment;Jan 19, 2017;;;;;;tbd;0;0;0;0;Oasis Games;;;;;;;https://www.metacritic.com/game/wii-u/koi-dx
Snowball;Wii U;CRT Factory;Jan 19, 2017;;;;;;tbd;;;;;CRT Factory;;;;;;;https://www.metacritic.com/game/wii-u/snowball
Cup Critters;Wii U;RCMADIAX;Jan  5, 2017;;;;;;tbd;;;;;RCMADIAX;;;;;;;https://www.metacritic.com/game/wii-u/cup-critters
Zombie Brigade: No Brain No Gain;Wii U;Cypronia;Jan  5, 2017;;;;;;tbd;;;;;Cypronia;;;;;;;https://www.metacritic.com/game/wii-u/zombie-brigade-no-brain-no-gain
Spheroids;Wii U;Eclipse Games;Jan  5, 2017;;;;;;tbd;;;;;Eclipse Games;;;;;;;https://www.metacritic.com/game/wii-u/spheroids
Back to Bed;Wii U;Bedtime Digital Games;Dec 22, 2016;56;4;0;3;1;tbd;;;;;Bedtime Digital Games;;;;;;;https://www.metacritic.com/game/wii-u/back-to-bed
Radiantflux: Hyperfractal;Wii U;TACS Games;Dec 22, 2016;59;4;0;4;0;tbd;;;;;TACS Games;;;;;;;https://www.metacritic.com/game/wii-u/radiantflux-hyperfractal
