title;platform;publisher;release_date;critic_score;critic_count;critic_positive;critic_mixed;critic_negative;user_score;user_count;user_positive;user_mixed;user_negative;developer;genre;players;rating;director;writer;composer;category;is_portable;is_exclusive
Samurai Jack: The Shadow of Aku;PlayStation 2;Sega;2004-03-24;59.0;21;4;16;1;87.97;5;4;1;0;Adrenium;Action, Platformer, General, 3D;No Online Multiplayer;T;;;;50-74;0;0
Samurai Riot;PC;Wako Factory;2017-09-13;64.0;4;0;4;0;0.0;0;0;0;0;Wako Factory;;;;;;;50-74;0;1
Samurai Shodown Anthology;Wii;SNK Playmore;2009-04-14;74.0;6;2;4;0;82.03;1;1;0;0;SNK Playmore;;;;;;;50-74;0;0
Samurai Shodown II;Xbox 360;SNK Playmore;2008-09-10;72.0;12;8;3;1;0.0;0;0;0;0;SNK Playmore;Action, 2D, Fighting;1-4;T;;;;50-74;0;0
Samurai Shodown Sen;Xbox 360;XSEED Games;2010-03-30;46.0;33;0;15;18;51.02;3;0;2;1;K2 LLC;3D, Action, 2D, Fighting;1-4;M;;;;50-;0;1
Samurai Shodown V;Xbox;SNK Playmore;2006-01-18;58.0;29;1;21;7;0.0;0;0;0;0;SNK;Action, 2D, Fighting;1-4;T;;;;50-74;0;1
Samurai Sword Destiny;3DS;UFO Interactive;2012-01-05;50.0;7;0;4;3;0.0;1;0;1;0;UFO Interactive;Action, General;No Online Multiplayer;T;;;;50-;1;1
Samurai Warriors;Xbox;Koei;2004-07-13;71.0;20;7;13;0;63.98;3;3;0;0;Omega Force;Beat-'Em-Up, Action;1-4;T;;;;50-74;0;0
Samurai Warriors;PlayStation 2;Koei;2004-05-06;73.0;37;20;17;0;87.97;7;5;2;0;Omega Force;Beat-'Em-Up, Action;1-4;T;Hisashi Koinuma;;;50-74;0;0
Samurai Warriors 2;PC;Koei;2008-06-27;43.0;6;0;2;4;78.01;4;4;0;0;Omega Force;Beat-'Em-Up, Action, 3D;1-4;T;;;;50-;0;0
Samurai Warriors 2;PlayStation 2;Koei;2006-09-19;58.0;26;4;18;4;88.98;3;3;0;0;Omega Force;Beat-'Em-Up, Action;1-4;T;Hisashi Koinuma;;;50-74;0;0
Samurai Warriors 2;Xbox 360;Koei;2006-09-19;52.0;30;1;21;8;87.03;5;3;2;0;Omega Force;Beat-'Em-Up, Action, 3D;1-4;T;Hisashi Koinuma;;;50-74;0;0
Samurai Warriors 2 Empires;Xbox 360;Koei;2007-02-27;53.0;29;1;20;8;86.02;5;4;0;1;Omega Force;Beat-'Em-Up, Action, 3D;1-4;T;Hisashi Koinuma;;;50-74;0;1
Samurai Warriors 2: Empires;PlayStation 2;Koei;2007-02-27;55.0;20;1;15;4;73.01;0;0;0;0;Omega Force;Beat-'Em-Up, Action;1-4;T;Hisashi Koinuma;;;50-74;0;1
